filename	onset	offset	event_label
Y--OMDPXfO6o_9.000_19.000.wav	0.000	9.785	Alarm_bell_ringing
Y--OMDPXfO6o_9.000_19.000.wav	1.556	9.415	Speech
Y--dr8rXrv8k_23.000_33.000.wav	1.667	2.657	Speech
Y--dr8rXrv8k_23.000_33.000.wav	0.000	0.541	Speech
Y--dr8rXrv8k_23.000_33.000.wav	2.849	3.480	Cat
Y--dr8rXrv8k_23.000_33.000.wav	0.692	2.529	Cat
Y--dr8rXrv8k_23.000_33.000.wav	4.271	4.558	Cat
Y--dr8rXrv8k_23.000_33.000.wav	4.798	8.528	Cat
Y--dr8rXrv8k_23.000_33.000.wav	3.664	3.991	Cat
Y-1KAjPp2-Vc_120.000_130.000.wav	7.701	7.951	Dog
Y-1KAjPp2-Vc_120.000_130.000.wav	6.961	7.323	Speech
Y-1KAjPp2-Vc_120.000_130.000.wav	5.701	6.449	Speech
Y-1KAjPp2-Vc_120.000_130.000.wav	1.850	2.354	Speech
Y-1KAjPp2-Vc_120.000_130.000.wav	0.598	0.848	Speech
Y-1KAjPp2-Vc_120.000_130.000.wav	0.000	0.409	Speech
Y-1gZLnvKrBw_0.000_10.000.wav	8.093	8.977	Speech
Y-1gZLnvKrBw_0.000_10.000.wav	6.267	6.856	Speech
Y-1gZLnvKrBw_0.000_10.000.wav	0.604	2.283	Alarm_bell_ringing
Y-1gZLnvKrBw_0.000_10.000.wav	7.040	7.541	Speech
Y-1gZLnvKrBw_0.000_10.000.wav	5.597	6.024	Speech
Y-1gZLnvKrBw_0.000_10.000.wav	9.175	10.000	Speech
Y-1gZLnvKrBw_0.000_10.000.wav	4.963	5.243	Speech
Y-1hDiUHXeZY_570.000_580.000.wav	7.764	9.039	Speech
Y-1hDiUHXeZY_570.000_580.000.wav	6.953	7.535	Speech
Y-1hDiUHXeZY_570.000_580.000.wav	6.472	10.000	Alarm_bell_ringing
Y-2kErLFAk5k_30.000_40.000.wav	6.334	6.585	Cat
Y-2kErLFAk5k_30.000_40.000.wav	4.701	5.286	Cat
Y-2kErLFAk5k_30.000_40.000.wav	2.629	3.775	Cat
Y-2kErLFAk5k_30.000_40.000.wav	1.126	1.614	Cat
Y-2kErLFAk5k_30.000_40.000.wav	7.252	8.348	Speech
Y-2kErLFAk5k_30.000_40.000.wav	8.251	9.453	Cat
Y-3bdRpp1ntw_180.000_190.000.wav	8.940	9.190	Dishes
Y-3bdRpp1ntw_180.000_190.000.wav	7.621	10.000	Speech
Y-3k1Xl7eriw_140.000_150.000.wav	0.794	2.107	Speech
Y-3k1Xl7eriw_140.000_150.000.wav	2.546	10.000	Blender
Y-3k1Xl7eriw_140.000_150.000.wav	3.509	4.650	Speech
Y-3xDCIpcY1o_13.000_23.000.wav	7.506	8.936	Speech
Y-3xDCIpcY1o_13.000_23.000.wav	2.270	7.172	Alarm_bell_ringing
Y-45YCn58LSk_90.000_100.000.wav	8.340	8.590	Dishes
Y-45YCn58LSk_90.000_100.000.wav	8.990	9.461	Speech
Y-45YCn58LSk_90.000_100.000.wav	7.983	8.828	Speech
Y-45YCn58LSk_90.000_100.000.wav	7.666	7.950	Dishes
Y-45YCn58LSk_90.000_100.000.wav	5.123	7.544	Speech
Y-45YCn58LSk_90.000_100.000.wav	3.149	3.962	Speech
Y-45YCn58LSk_90.000_100.000.wav	2.183	2.954	Speech
Y-45YCn58LSk_90.000_100.000.wav	0.000	10.000	Frying
Y-45YCn58LSk_90.000_100.000.wav	0.000	1.598	Speech
Y-4A2_GCaKGg_0.000_10.000.wav	3.552	10.000	Speech
Y-4A2_GCaKGg_0.000_10.000.wav	0.745	2.310	Alarm_bell_ringing
Y-4tFyjKAH7o_30.000_40.000.wav	8.394	8.644	Dog
Y-4tFyjKAH7o_30.000_40.000.wav	4.606	4.913	Speech
Y-6-rh8kbZf0_40.000_50.000.wav	0.000	10.000	Blender
Y-6-rh8kbZf0_40.000_50.000.wav	8.092	9.633	Speech
Y-6KfoGO_o9M_220.000_230.000.wav	4.319	5.877	Speech
Y-6KfoGO_o9M_220.000_230.000.wav	7.682	8.141	Speech
Y-6KfoGO_o9M_220.000_230.000.wav	8.954	9.518	Speech
Y-6KfoGO_o9M_220.000_230.000.wav	0.000	10.000	Alarm_bell_ringing
Y-6Vl2wMppE0_150.000_160.000.wav	0.000	1.252	Speech
Y-6Vl2wMppE0_150.000_160.000.wav	8.457	9.213	Dog
Y-7TkOxpkbwM_30.000_40.000.wav	2.369	4.262	Dog
Y-7TkOxpkbwM_30.000_40.000.wav	4.644	6.472	Dog
Y-7TkOxpkbwM_30.000_40.000.wav	6.537	9.559	Speech
Y-7TkOxpkbwM_30.000_40.000.wav	4.254	6.171	Speech
