filename	onset	offset	event_label
Y--OMDPXfO6o.wav	0.000	9.785	Alarm_bell_ringing
Y--OMDPXfO6o.wav	1.556	9.415	Speech
Y--dr8rXrv8k.wav	1.667	2.657	Speech
Y--dr8rXrv8k.wav	0.000	0.541	Speech
Y--dr8rXrv8k.wav	2.849	3.480	Cat
Y--dr8rXrv8k.wav	0.692	2.529	Cat
Y--dr8rXrv8k.wav	4.271	4.558	Cat
Y--dr8rXrv8k.wav	4.798	8.528	Cat
Y--dr8rXrv8k.wav	3.664	3.991	Cat
Y-1KAjPp2-Vc.wav	7.701	7.951	Dog
Y-1KAjPp2-Vc.wav	6.961	7.323	Speech
Y-1KAjPp2-Vc.wav	5.701	6.449	Speech
Y-1KAjPp2-Vc.wav	1.850	2.354	Speech
Y-1KAjPp2-Vc.wav	0.598	0.848	Speech
Y-1KAjPp2-Vc.wav	0.000	0.409	Speech
Y-1gZLnvKrBw.wav	8.093	8.977	Speech
Y-1gZLnvKrBw.wav	6.267	6.856	Speech
Y-1gZLnvKrBw.wav	0.604	2.283	Alarm_bell_ringing
Y-1gZLnvKrBw.wav	7.040	7.541	Speech
Y-1gZLnvKrBw.wav	5.597	6.024	Speech
Y-1gZLnvKrBw.wav	9.175	10.000	Speech
Y-1gZLnvKrBw.wav	4.963	5.243	Speech
Y-1hDiUHXeZY.wav	7.764	9.039	Speech
Y-1hDiUHXeZY.wav	6.953	7.535	Speech
Y-1hDiUHXeZY.wav	6.472	10.000	Alarm_bell_ringing
Y-2kErLFAk5k.wav	6.334	6.585	Cat
Y-2kErLFAk5k.wav	4.701	5.286	Cat
Y-2kErLFAk5k.wav	2.629	3.775	Cat
Y-2kErLFAk5k.wav	1.126	1.614	Cat
Y-2kErLFAk5k.wav	7.252	8.348	Speech
Y-2kErLFAk5k.wav	8.251	9.453	Cat
Y-3bdRpp1ntw.wav	8.940	9.190	Dishes
Y-3bdRpp1ntw.wav	7.621	10.000	Speech
Y-3k1Xl7eriw.wav	0.794	2.107	Speech
Y-3k1Xl7eriw.wav	2.546	10.000	Blender
Y-3k1Xl7eriw.wav	3.509	4.650	Speech
Y-3xDCIpcY1o.wav	7.506	8.936	Speech
