filename	onset	offset	event_label
0.wav	4.151	4.410	Speech
0.wav	4.190	5.888	Dog
1.wav	0.000	10.000	Frying
1.wav	4.591	4.841	Dishes
1.wav	5.458	7.572	Speech
1.wav	6.345	6.595	Dishes
1.wav	7.481	7.731	Dishes
10.wav	4.215	5.227	Speech
10.wav	4.680	10.000	Electric_shaver_toothbrush
10.wav	5.707	6.043	Speech
10.wav	6.565	7.093	Speech
100.wav	1.742	3.576	Speech
100.wav	3.796	4.289	Speech
100.wav	4.968	6.770	Speech
100.wav	5.046	7.731	Blender
1000.wav	0.000	10.000	Electric_shaver_toothbrush
1000.wav	3.951	4.977	Speech
1001.wav	2.263	10.000	Electric_shaver_toothbrush
1001.wav	3.039	4.057	Speech
1001.wav	4.925	6.206	Speech
1002.wav	1.491	10.000	Frying
1002.wav	1.686	2.299	Speech
1002.wav	5.137	5.550	Dishes
1002.wav	5.849	9.900	Speech
1003.wav	3.568	4.948	Speech
1003.wav	4.655	5.250	Cat
1003.wav	5.561	9.286	Speech
1003.wav	6.423	9.026	Cat
1004.wav	0.000	10.000	Frying
1004.wav	7.762	8.527	Speech
1004.wav	8.488	10.000	Dishes
1005.wav	2.097	10.000	Running_water
1005.wav	3.103	4.065	Speech
1005.wav	5.073	5.601	Speech
1005.wav	7.876	9.060	Speech
1006.wav	2.196	2.877	Speech
1006.wav	8.005	8.533	Dishes
1007.wav	2.445	4.407	Speech
1007.wav	5.062	5.378	Alarm_bell_ringing
1007.wav	5.994	10.000	Alarm_bell_ringing
1007.wav	7.799	8.412	Speech
1008.wav	0.983	10.000	Running_water
1008.wav	2.558	3.078	Speech
1008.wav	3.848	6.457	Speech
1009.wav	0.000	10.000	Frying
1009.wav	3.450	4.029	Dishes
1009.wav	4.592	5.437	Dishes
1009.wav	5.105	6.289	Speech
1009.wav	7.317	8.927	Speech
1009.wav	7.768	8.018	Dishes
101.wav	2.434	2.815	Speech
101.wav	3.377	10.000	Electric_shaver_toothbrush
1010.wav	0.000	10.000	Electric_shaver_toothbrush
1010.wav	4.469	10.000	Speech
1011.wav	3.008	4.810	Speech
1011.wav	3.262	10.000	Blender
1011.wav	5.458	6.084	Speech
1012.wav	3.051	3.396	Speech
1012.wav	4.132	4.382	Speech
1012.wav	5.185	6.793	Speech
1013.wav	2.289	9.837	Frying
1013.wav	9.469	9.785	Dishes
1014.wav	0.000	10.000	Vacuum_cleaner
1014.wav	0.937	1.217	Speech
1014.wav	3.242	5.258	Speech
1014.wav	6.079	6.538	Speech
1015.wav	1.244	1.494	Dog
1015.wav	5.076	5.354	Dog
